Word,Count
*,3072
the,1561
to,1043
,856
for,806
of,699
is,670
=,524
if,516
a,493
and,406
file,325
in,312
//,309
value,305
------------------------------------------------------------------------------,295
\param[in],294
be,286
or,278
The,262
},247
\return,245
int,243
directory,220
{,217
not,199
set,196
byte,188
data,184
by,182
Library,163
it,160
-,154
This,148
on,148
function,139
with,135
return,124
error,121
card,120
stream,120
Arduino,119
as,118
this,117
will,117
number,116
string,113
==,110
returned,110
an,107
Public,105
GNU,105
current,105
License,105
General,105
send,105
bool,104
use,104
entry,103
frame,102
block,102
SdFat,102
that,100
read,100
are,99
should,96
from,91
pin,90
failure,90
+,89
SD,89
2,87
0;,84
false;,84
write,82
interrupt,81
name,80
else,80
version,80
A,80
all,80
If,80
open,77
success,75
FAT,74
SPI,73
used,73
bytes,72
serial,70
mode,68
0,67
**,66
can,65
true,65
code,65
false,64
cluster,64
field,63
1,63
&&,62
loop,61
part,61
any,60
true;,60
See,60
at,59
one,58
0),58
\true,\,57
volume,56
first,56
\a,55
when,55
copy,55
\zero,\,55
new,54
free,54
have,54
but,54
size,53
timer,53
end,52
position,52
path,51
Set,51
must,51
cache,51
more,51
3,51
you,50
!=,50
start,50
\false,\,50
sensor,49
output,48
class,48
functions,48
time,48
\one,\,47
zero,47
\brief,46
offset],46
Software,46
type,46
without,45
do,45
*this,45
date,44
speed,43
address,43
length,43
details,42
flags,42
str,42
working,42
modify,42
initialise,41
\param[out],41
last,41
character,40
state,40
see,40
led,40
call,40
bit,40
than,40
after,39
pos,39
and/or,39
always,39
arg,39
later,39
values,39
NOLINT,39
check,39
cards,38
valid,38
You,38
received,38
flash,38
fail,38
(fail,37
along,37
even,37
either,37
next,36
\not,\,36
\useful,\,36
sd,36
under,36
struct,36
based,36
offset,35
\Foundation,\,35
MERCHANTABILITY,35
ANY,35
terms,35
PARTICULAR,35
WARRANTY;,35
WITHOUT,35
<http://www.gnu.org/licenses/>,35
network,35
distributed,35
redistribute,35
\License,\,35
hope,35
Copyright,35
no,35
published,35
Free,35
software:,35
PURPOSE,35
implied,35
only,35
FAT32,35
(C),35
FITNESS,35
warranty,35
FOR,35
#define,34
buffer,34
/,34
get,34
make,34
manipulator,33
case,33
reading,33
William,33
while,33
Greiman,33
(at,33
Print,33
const,32
your,32
8.3,32
rate,32
option),32
root,32
dir,31
access,31
init,31
text,31
wait,31
characters,31
has,31
object,31
level,31
multiple,31
format,31
using,30
files,30
location,30
until,30
char,30
store,29
<,29
blocks,29
2012,29
strip,29
written,29
megas,29
bits,28
so,28
library,28
//if,28
otherwise,27
indicated,27
due,27
print,27
receive,27
(0);,26
stored,26
----------------------------------------------------------------------------,26
display,26
i2c,26
i,26
pointer,26
input,26
range,25
called,25
==============================================================================,25
alpha,25
returns,25
create,25
may,25
into,25
break;,25
%Print,25
partition,25
count,25
device,25
variables,25
For,25
1;,24
default,24
//function,24
#include,24
oflag,24
both,24
sure,24
Sd2Card,24
(byte),24
sector,24
frame.frame_buffer[4,23
subdirectory,23
debug,23
attach,23
I/O,23
sensor_prefix;,23
@param[in],23
where,23
update,23
between,23
FAT16,23
file's,22
target,22
(int,22
then,22
frame.frame_buffer[5,22
which,21
need,21
Extract,21
opened,21
Internal,21
other,20
software,20
Output,20
Failure,20
nonzero,20
already,20
Is,20
8,20
5,20
user,20
Pointer,20
include,20
void,20
specified,20
temperature,20
been,20
DOS,19
boot,19
list,19
attached,19
Use,19
enable,19
pins,19
\class,19
long,19
fan,19
high,19
frames,19
frequency,18
before,18
\ref,18
up,18
old,18
pack,18
10,18
erase,18
de,18
test,18
array,18
4,18
mega,17
inclusive,17
memory,17
button,17
max,17
512,17
stop,17
fixed,17
encoder,17
fill,17
register,16
select,16
256,16
period,16
temp,16
external,16
we,16
open(),16
info,16
entries,16
\Sprintln(F("\Failed\,16
useful,16
sync(),16
dirFile,16
-1,16
fade,16
chip,16
ISR,16
occurs,16
formatted,16
screen,16
increment,16
FAT12,16
sent,16
information,15
instance,15
contains,15
volume's,15
variable,15
beta,15
soft_uart,15
stopping,15
clusters,15
15,15
cursor,15
off,15
:,15
cached,15
brightness,15
each,15
internal,15
\file,15
//attach,15
\note,15
change,15
Reasons,15
index,15
6,15
13,15
was,14
define,14
n,14
\Sprintln("\"\);\,14
12,14
OR,14
16,14
Open,14
checksum,14
its,14
SCK,14
};,14
indicate,14
fans,14
defined,14
empty,14
initial,14
(-1);,14
flag,13
space,13
'..',13
sectors,13
disable,13
7,13
millis();,13
dont,13
through,13
single,13
An,13
\"\));\,13
menu,13
two,13
normal,13
second,13
failed,13
\deprecated,13
//set,13
back,13
containing,13
convert,13
sequence,13
short,13
specific,13
over,13
y,12
writing,12
strings,12
some,12
created,12
\Sprintln(F("\\t\,12
port's,12
recieved,12
--------------------------------------------------------------------------------,12
external_sd_card,12
sign_coms::stop();,12
clock,12
width,12
sending,12
115200,12
system,12
just,12
errors,12
\Sprintln(F("\Initialised\,12
interval,12
status,12
%SdFat,12
MSB,12
\timer"\));\,12
internal_sd_card,12
SDHC,12
related,12
humidity,12
seconds,12
Initialize,12
|,12
exit,12
does,12
out,12
non,12
Use:,12
\execution..."\));\,12
freq,11
parity,11
response,11
pr,11
toggle,11
delete,11
uint8_t,11
handle,11
TX,11
seek,11
%,11
prompt,11
maybe,11
operation,11
Used,11
9,11
skip,11
fields,11
\Sprintln(F("\Initialising\,11
clean,11
low,11
(alpha,11
command,11
coordinate,11
add,11
extracted,11
parent,11
\value,\,11
volumes,11
less,11
greater,11
\struct,11
baud,11
available,11
password,10
Values,10
modulo,10
USE_SD_CRC,10
folder,10
Legal,10
standard,10
DueTimer,10
take,10
fifo,10
minimum,10
don't,10
interrupts,10
SdVolume,10
could,10
return(-1);,10
close,10
BIOS,10
@cond,10
@endcond,10
256;,10
>,10
raw,10
deleted,10
read-only,10
shift,10
bus,10
write(),10
specify,10
required,10
Constructor,10
same,10
SHOW_PROTECTED,10
11,10
14,10
HIGH);,10
||,10
prefix,10
#endif,10
LS,10
Write,10
{},10
main,10
allow,10
iostate,10
\directory,\,10
way,10
hardware,10
MS,10
dot,10
\Sprintln(F("\From\,10
Boot,10
media,10
MBR,10
static,10
1),9
chain,9
constructed,9
halt,9
followed,9
\pin,\,9
\enabled,\,9
address),9
//indicate,9
maximum,9
(debug),9
most,9
reception,9
these,9
\digitalWrite(notifier,\,9
True,9
timestamps,9
Data,9
LSB,9
storage,9
assume,9
20K,9
FIFO,9
timeout,9
bitwise-inclusive,9
Microsoft,9
starting,9
program,9
approach,9
large,9
//stop,9
pullup,9
classes,9
delay,9
structure,9
x,9
OUTPUT);,9
Valid,9
methods,9
done,9
initialize,9
unsigned,9
find,9
callback,9
Number,9
16-bit,9
structures,9
Bits,9
total,9
Only,9
NOTE:,9
pin's,9
etc,9
sinusoidal,9
\brightness,\,8
left,8
Shield,8
reset,8
considered,8
calculate,8
spiRate,8
element,8
writes,8
timers,8
search,8
full,8
(accept_val,8
stdOut,8
multiples,8
Directory,8
ambient,8
hue,8
constructor,8
num,8
Message,8
given,8
macro,8
implementation,8
(eg,8
limit,8
PC,8
fails,8
\data,\,8
DMA,8
copied,8
__AVR__,8
(debug){,8
relative,8
associated,8
date/time,8
SdFile,8
terminator,8
cant,8
option,8
configuration,8
exists,8
relevant,8
//send,8
external_sd_card_initialised,8
(millis(),8
//take,8
mask,8
Format,8
DHT11,8
'.',8
per,8
detected,8
removed,8
C,8
ready,8
occurred,8
invalid,8
writeError,8
msg,8
go,8
names,8
force,8
&,8
Create,8
18,8
