File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Coms.cpp,579,386,307,87,152,85,41,1023,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Coms_I2C.cpp,109,52,27,7,36,9,21,145,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Coms_Serial.cpp,189,139,51,14,37,6,13,199,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Current_Control.cpp,32,19,9,0,13,1,0,1,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Encoder.cpp,91,63,41,9,25,6,3,48,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Fans.cpp,243,167,123,27,64,39,12,388,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Graphics.cpp,34,18,12,0,12,3,4,28,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Internet.cpp,49,28,13,1,19,4,2,26,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Led_strip.cpp,138,83,52,17,44,21,11,293,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Menu_Tree.cpp,46,25,16,2,20,3,1,29,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\SD_Cards.cpp,396,243,180,56,106,53,47,841,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Coms.h,142,77,54,0,53,34,12,349,5,34
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Coms_I2C.h,36,17,10,0,19,7,0,37,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Coms_Serial.h,33,15,8,0,16,3,2,41,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Config_Local.h,137,55,1,0,52,12,30,278,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Current_Control.h,59,38,28,0,20,2,1,20,0,0
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\Due.h,94,23,14,0,15,4,56,156,0,0
